video_id,canal,handle,titulo,publicado_em,url,visto_em
hMeRcDjp2pU,Universal Software,@UniversalSoftware,O que diferencia um fechamento de 48 horas de um de 15 dias?,2026-08-19T20:31:18+00:00,https://www.youtube.com/watch?v=hMeRcDjp2pU,2026-09-07T20:45:51+00:00
Mcs3fox0YZw,Jetimob,@jetimob,IA substitui um sistema imobiliário? O custo que ninguém te conta,2026-08-19T13:40:09+00:00,https://www.youtube.com/watch?v=Mcs3fox0YZw,2026-09-07T20:45:51+00:00
mlzEUt83lLY,Universal Software,@UniversalSoftware,3 atalhos que diferenciam os corretores comuns daqueles que faturam alto todos os meses!,2026-08-18T19:15:53+00:00,https://www.youtube.com/watch?v=mlzEUt83lLY,2026-09-07T20:45:51+00:00
D2WlO6V0lcU,Jetimob,@jetimob,"Negociação, fechamento e análise de dados: como fazer | Jornada do Lead parte 2",2026-08-18T03:00:00+00:00,https://www.youtube.com/watch?v=D2WlO6V0lcU,2026-09-07T20:45:51+00:00
zDLv_StrzUk,Jetimob,@jetimob,Dashboard | CRM Imobiliário Jetimob,2026-08-17T03:00:15+00:00,https://www.youtube.com/watch?v=zDLv_StrzUk,2026-09-07T20:45:51+00:00
9JmU0X3RvGM,Universal Software,@UniversalSoftware,Quanto custa o tempo de resposta da sua imobiliária?,2026-08-14T20:31:11+00:00,https://www.youtube.com/watch?v=9JmU0X3RvGM,2026-09-07T20:45:51+00:00
d2-aszphmQU,C2S Contact2sale,@contact2sale,EP.4 Case LimCar | IA em Operação Real,2026-08-14T15:04:11+00:00,https://www.youtube.com/watch?v=d2-aszphmQU,2026-09-07T20:45:51+00:00
GoFgOn--bdc,C2S Contact2sale,@contact2sale,EP.3 IA na Prática | Como usar IA na prática na sua loja de carros,2026-08-14T15:02:15+00:00,https://www.youtube.com/watch?v=GoFgOn--bdc,2026-09-07T20:45:51+00:00
31hIfA1or0A,C2S Contact2sale,@contact2sale,EP.1 O Novo Jogo | Os 5 Vazamentos das Vendas Automotivas,2026-08-14T14:48:36+00:00,https://www.youtube.com/watch?v=31hIfA1or0A,2026-09-07T20:45:51+00:00
S9ajtrxhamw,C2S Contact2sale,@contact2sale,EP.2 Mercado Livre | O Futuro da Venda de Veículos,2026-08-14T14:47:35+00:00,https://www.youtube.com/watch?v=S9ajtrxhamw,2026-09-07T20:45:51+00:00
RYrozyWVuK8,Jetimob,@jetimob,"Como captar, distribuir e qualificar leads na imobiliária | Jornada do Lead parte 1",2026-08-14T03:00:29+00:00,https://www.youtube.com/watch?v=RYrozyWVuK8,2026-09-07T20:45:51+00:00
9TVjq6spICE,Universal Software,@UniversalSoftware,Sua imobiliária está crescendo ou apenas acumulando trabalho manual?,2026-08-13T21:31:23+00:00,https://www.youtube.com/watch?v=9TVjq6spICE,2026-09-07T20:45:51+00:00
5uk4oGvcExg,Jetimob,@jetimob,Como definir a gestão comercial da sua imobiliária em 3 passos,2026-08-13T03:00:37+00:00,https://www.youtube.com/watch?v=5uk4oGvcExg,2026-09-07T20:45:51+00:00
5h16aFpFWNg,C2S Contact2sale,@contact2sale,Seu melhor imóvel pode estar passando despercebido,2026-08-12T17:49:35+00:00,https://www.youtube.com/watch?v=5h16aFpFWNg,2026-09-07T20:45:51+00:00
BziAJubCLcc,Jetimob,@jetimob,Como fazer um contrato de aluguel comercial: modelo grátis!,2026-08-12T14:32:06+00:00,https://www.youtube.com/watch?v=BziAJubCLcc,2026-09-07T20:45:51+00:00
kRQ11zAXaH0,Superlógica Imobi,@superlogicaimobi,Essa é uma das principais estratégias das imobiliárias de sucesso,2026-08-11T12:00:04+00:00,https://www.youtube.com/watch?v=kRQ11zAXaH0,2026-09-07T20:45:51+00:00
BLeBPmlyOjo,Jetimob,@jetimob,Gestão por dados ou por feeling? Veja a diferença,2026-08-11T03:00:02+00:00,https://www.youtube.com/watch?v=BLeBPmlyOjo,2026-09-07T20:45:51+00:00
ssUlNIwrKkI,Jetimob,@jetimob,O processo completo para escalar as vendas da sua imobiliária,2026-08-10T11:29:00+00:00,https://www.youtube.com/watch?v=ssUlNIwrKkI,2026-09-07T20:45:51+00:00
EnOuNMoOw4U,PipeImob,@pipeimob,Depoimento PipeImob - Vanessa e Juliana (Arthur Paraguay),2026-08-07T12:21:49+00:00,https://www.youtube.com/watch?v=EnOuNMoOw4U,2026-09-07T20:45:51+00:00
n37BbuqHYcM,Kenlo,@KenloBR,O imóvel vazio não vende mais: como a IA mostra o potencial antes da visita,2026-08-05T16:34:53+00:00,https://www.youtube.com/watch?v=n37BbuqHYcM,2026-09-07T20:45:51+00:00
KWnOh1-t4vQ,Kenlo,@KenloBR,"Mês do Corretor 2026: mais que imóveis, movemos pessoas | Kenlo",2026-08-03T17:21:00+00:00,https://www.youtube.com/watch?v=KWnOh1-t4vQ,2026-09-07T20:45:51+00:00
xi01sJCmzE0,Superlógica Imobi,@superlogicaimobi,Algumas imobiliárias já são maiores que bancos?,2026-08-03T12:00:18+00:00,https://www.youtube.com/watch?v=xi01sJCmzE0,2026-09-07T20:45:51+00:00
6z31lziWJAI,Universal Software,@UniversalSoftware,Quantos leads você PERDEU ESSE MÊS?,2026-07-31T14:46:29+00:00,https://www.youtube.com/watch?v=6z31lziWJAI,2026-09-07T20:45:51+00:00
KZ7doR_bGZk,Universal Software,@UniversalSoftware,faça parte do nosso Benchmark Imobiliário!,2026-07-30T21:01:29+00:00,https://www.youtube.com/watch?v=KZ7doR_bGZk,2026-09-07T20:45:51+00:00
7TAOCzsig4w,Apresenta_me,@apresentame,Review de 12 anos da Apresenta.me | O que há de novo na gestão imobiliária,2026-07-29T14:45:18+00:00,https://www.youtube.com/watch?v=7TAOCzsig4w,2026-09-07T20:45:51+00:00
vYZQ2Sugz3Y,PipeImob,@pipeimob,PipeImob | Depoimento Auxiliadora Predial,2026-07-24T20:55:19+00:00,https://www.youtube.com/watch?v=vYZQ2Sugz3Y,2026-09-07T20:45:51+00:00
hBdfeJp8iyg,Universal Software,@UniversalSoftware,POV: gerindo sua imobiliária pelo celular com ImoviewApp,2026-07-23T12:31:11+00:00,https://www.youtube.com/watch?v=hBdfeJp8iyg,2026-09-07T20:45:51+00:00
KGlsCJJ7Ucg,Universal Software,@UniversalSoftware,Quanto sua imobiliária vendeu esse mês?,2026-07-22T14:46:43+00:00,https://www.youtube.com/watch?v=KGlsCJJ7Ucg,2026-09-07T20:45:51+00:00
7UVftymEHL0,Kenlo,@KenloBR,Captação sem exclusividade: resultado pra todo mundo.,2026-07-22T14:45:46+00:00,https://www.youtube.com/watch?v=7UVftymEHL0,2026-09-07T20:45:51+00:00
uL_JvyR5nzk,Superlógica Imobi,@superlogicaimobi,Transcrição automática de áudios no sistema da imobiliária,2026-07-22T12:00:33+00:00,https://www.youtube.com/watch?v=uL_JvyR5nzk,2026-09-07T20:45:51+00:00
E7oeSyg9o8c,PipeImob,@pipeimob,Depoimento PipeImob - Alexandre (Real Up),2026-07-21T20:33:01+00:00,https://www.youtube.com/watch?v=E7oeSyg9o8c,2026-09-07T20:45:51+00:00
tRzWbXUAOiY,PipeImob,@pipeimob,Depoimento PipeImob - Douglas e Paulo (Sinai Imobiliária RJ),2026-07-21T20:26:38+00:00,https://www.youtube.com/watch?v=tRzWbXUAOiY,2026-09-07T20:45:51+00:00
Sghid8MVS8Y,Universal Software,@UniversalSoftware,O que acontece quando um locatário some e você não tem sistema?,2026-07-21T12:01:35+00:00,https://www.youtube.com/watch?v=Sghid8MVS8Y,2026-09-07T20:45:51+00:00
96D_q8egKoY,Universal Software,@UniversalSoftware,Como publicar imóvel nos principais portais em 1 clique?,2026-07-20T14:46:38+00:00,https://www.youtube.com/watch?v=96D_q8egKoY,2026-09-07T20:45:51+00:00
kQ7i2c04WJk,Apresenta_me,@apresentame,OS - Ordem de Serviço | Como criar e gerenciar dentro da Apresenta.me,2026-07-18T15:00:08+00:00,https://www.youtube.com/watch?v=kQ7i2c04WJk,2026-09-07T20:45:51+00:00
2ipseIrrUEQ,Apresenta_me,@apresentame,Informativo por Whatsapp & Aprechat | Aprenda a usar dentro da Apresenta.me,2026-07-17T15:00:03+00:00,https://www.youtube.com/watch?v=2ipseIrrUEQ,2026-09-07T20:45:51+00:00
RB3oz3Fm4VM,Kenlo,@KenloBR,Saldo de Koins zerado? A LYA te mostra o que fazer.,2026-07-16T17:58:33+00:00,https://www.youtube.com/watch?v=RB3oz3Fm4VM,2026-09-07T20:45:51+00:00
-L9eJIXFeIU,Kenlo,@KenloBR,Como usar Koins de forma estratégica?,2026-07-16T17:57:04+00:00,https://www.youtube.com/watch?v=-L9eJIXFeIU,2026-09-07T20:45:51+00:00
FIvxbp0IjNQ,Kenlo,@KenloBR,O que são Koins?,2026-07-16T17:55:59+00:00,https://www.youtube.com/watch?v=FIvxbp0IjNQ,2026-09-07T20:45:51+00:00
zzBj0dakfn0,Kenlo,@KenloBR,Diagnóstico de Anúncios.,2026-07-16T17:54:45+00:00,https://www.youtube.com/watch?v=zzBj0dakfn0,2026-09-07T20:45:51+00:00
b7APBnDnzeY,Kenlo,@KenloBR,Descrição de imóvel não é enfeite.,2026-07-16T17:53:27+00:00,https://www.youtube.com/watch?v=b7APBnDnzeY,2026-09-07T20:45:51+00:00
FKMZDa7kebw,Kenlo,@KenloBR,Reengajamento quando o lead some.,2026-07-16T17:52:02+00:00,https://www.youtube.com/watch?v=FKMZDa7kebw,2026-09-07T20:45:51+00:00
Lf6Jiu88vZo,Kenlo,@KenloBR,Qualificação de leads com a LYA.,2026-07-16T17:50:51+00:00,https://www.youtube.com/watch?v=Lf6Jiu88vZo,2026-09-07T20:45:51+00:00
vOcnH6WsOQA,Kenlo,@KenloBR,Templates da LYA Omnichannel.,2026-07-16T17:47:50+00:00,https://www.youtube.com/watch?v=vOcnH6WsOQA,2026-09-07T20:45:51+00:00
Q_JYAHx30lA,Kenlo,@KenloBR,Whatsapp na operação.,2026-07-16T17:45:56+00:00,https://www.youtube.com/watch?v=Q_JYAHx30lA,2026-09-07T20:45:51+00:00
t4KTx1Su7ts,Kenlo,@KenloBR,Mensagens não lidas: como priorizar atendimentos?,2026-07-16T17:44:51+00:00,https://www.youtube.com/watch?v=t4KTx1Su7ts,2026-09-07T20:45:51+00:00
cl0fXlGhrRk,Kenlo,@KenloBR,O corretor começa a conversa do meio.,2026-07-16T17:43:34+00:00,https://www.youtube.com/watch?v=cl0fXlGhrRk,2026-09-07T20:45:51+00:00
X2J4X7yaPkc,Kenlo,@KenloBR,Como o corretor ganha contexto antes de responder?,2026-07-16T17:41:24+00:00,https://www.youtube.com/watch?v=X2J4X7yaPkc,2026-09-07T20:45:51+00:00
xdW9mRnfayE,Apresenta_me,@apresentame,IA para ativação de imóveis | Como usar a Inteligência artificial da Apresenta.me,2026-07-16T15:00:18+00:00,https://www.youtube.com/watch?v=xdW9mRnfayE,2026-09-07T20:45:51+00:00
aat7VKVVBAI,Apresenta_me,@apresentame,Contestação de Vistoria | Como registrar e acompanhar pela Apresenta.me,2026-07-15T21:00:10+00:00,https://www.youtube.com/watch?v=aat7VKVVBAI,2026-09-07T20:45:51+00:00
UHhg57MLb8E,C2S Contact2sale,@contact2sale,Como o cérebro compra o imóvel antes de assinar o contrato?,2026-07-15T15:59:19+00:00,https://www.youtube.com/watch?v=UHhg57MLb8E,2026-09-07T20:45:51+00:00
3ky6xR4kDi4,Superlógica Imobi,@superlogicaimobi,O retrofit está movimentando o mercado imobiliário,2026-07-14T14:10:29+00:00,https://www.youtube.com/watch?v=3ky6xR4kDi4,2026-09-07T20:45:51+00:00
XKUARarKJJs,Apresenta_me,@apresentame,Sistema Completo Apresenta.me | Gestão imobiliária eficiente,2026-07-14T13:28:13+00:00,https://www.youtube.com/watch?v=XKUARarKJJs,2026-09-07T20:45:51+00:00
viSbaDpnsgU,Universal Software,@UniversalSoftware,você já conhece o Imoview?,2026-07-10T21:10:59+00:00,https://www.youtube.com/watch?v=viSbaDpnsgU,2026-09-07T20:45:51+00:00
9Ot6aNOeukw,C2S Contact2sale,@contact2sale,Hugo da RE/MAX fala sobre a importância do Bolsão de Leads C2S na sua operação,2026-07-10T14:20:54+00:00,https://www.youtube.com/watch?v=9Ot6aNOeukw,2026-09-07T20:45:51+00:00
z478yusIeVc,Universal Software,@UniversalSoftware,IMOREVIEW #26 | Cadastro de Chave Pix: como agilizar o repasse para o locador!,2026-07-10T13:00:18+00:00,https://www.youtube.com/watch?v=z478yusIeVc,2026-09-07T20:45:51+00:00
e5xPHnfiR6E,Universal Software,@UniversalSoftware,"INTEGRAÇÃO COM ÓRULO, CHAVE PIX, NOVA ÁREA DO CLIENTE E CENTRAL DE AJUDA | UNIVERSAL PRESS #27",2026-07-08T13:00:06+00:00,https://www.youtube.com/watch?v=e5xPHnfiR6E,2026-09-07T20:45:51+00:00
npWGVN_bkWY,Superlógica Imobi,@superlogicaimobi,Como está o site da sua imobiliária?,2026-07-06T12:00:25+00:00,https://www.youtube.com/watch?v=npWGVN_bkWY,2026-09-07T20:45:51+00:00
Ss_Y_royMIw,Superlógica Imobi,@superlogicaimobi,Sua carteira não tem o imóvel com a cara do cliente?,2026-06-22T12:00:20+00:00,https://www.youtube.com/watch?v=Ss_Y_royMIw,2026-09-07T20:45:51+00:00
Seoay1La4qc,Superlógica Imobi,@superlogicaimobi,Fazendo contas por aí?,2026-06-18T20:55:35+00:00,https://www.youtube.com/watch?v=Seoay1La4qc,2026-09-07T20:45:51+00:00
wY4cnWq9l2s,C2S Contact2sale,@contact2sale,Como a RE/MAX All Day atingiu 4 negócios fechados com o C2S IA,2026-06-18T18:52:55+00:00,https://www.youtube.com/watch?v=wY4cnWq9l2s,2026-09-07T20:45:51+00:00
oiI8qnLi47Y,Superlógica Imobi,@superlogicaimobi,Quando o candidato a morador está inspirado...,2026-06-09T12:00:09+00:00,https://www.youtube.com/watch?v=oiI8qnLi47Y,2026-09-07T20:45:51+00:00
L1eDNMCFmws,Superlógica Imobi,@superlogicaimobi,Como fazer sua imobiliária atingir mais usuários nas redes sociais,2026-06-01T20:49:05+00:00,https://www.youtube.com/watch?v=L1eDNMCFmws,2026-09-07T20:45:51+00:00
ZSIissMKsUY,C2S Contact2sale,@contact2sale,C2S Conecta: Verus Prime destaca evolução contínua com o C2S desde 2016,2026-05-29T19:02:41+00:00,https://www.youtube.com/watch?v=ZSIissMKsUY,2026-09-07T20:45:51+00:00
XrkeStEs_6E,C2S Contact2sale,@contact2sale,BML Tech valida o C2S e destaca adoção por clientes e parceiros,2026-05-29T18:59:51+00:00,https://www.youtube.com/watch?v=XrkeStEs_6E,2026-09-07T20:45:51+00:00
oBKRBNXsbZg,C2S Contact2sale,@contact2sale,"C2S Conecta: Depois de testar outro CRM, retorno ao C2S em menos de 1 ano",2026-05-29T18:56:56+00:00,https://www.youtube.com/watch?v=oBKRBNXsbZg,2026-09-07T20:45:51+00:00
lvoxGBtaGoo,C2S Contact2sale,@contact2sale,FENAUTO: Evolução no uso do C2S com impacto direto na operação comercial,2026-05-29T18:53:36+00:00,https://www.youtube.com/watch?v=lvoxGBtaGoo,2026-09-07T20:45:51+00:00
Pf0TsDeUqcs,C2S Contact2sale,@contact2sale,FENAUTO: Confiança no C2S e abertura para novas soluções com IA,2026-05-29T18:50:01+00:00,https://www.youtube.com/watch?v=Pf0TsDeUqcs,2026-09-07T20:45:51+00:00
vajvMQdIRCE,C2S Contact2sale,@contact2sale,FENAUTO: C2S como ferramenta essencial para organização e produtividade do time,2026-05-29T18:46:01+00:00,https://www.youtube.com/watch?v=vajvMQdIRCE,2026-09-07T20:45:51+00:00
crbXx6vIWDw,C2S Contact2sale,@contact2sale,FENAUTO: Experiência positiva e impacto no crescimento das vendas,2026-05-29T18:41:06+00:00,https://www.youtube.com/watch?v=crbXx6vIWDw,2026-09-07T20:45:51+00:00
Ux_FlNw5axw,Superlógica Imobi,@superlogicaimobi,Como a Reforma Tributária muda as imobiliárias,2026-05-28T20:31:06+00:00,https://www.youtube.com/watch?v=Ux_FlNw5axw,2026-09-07T20:45:51+00:00
68WIvEI0hbA,Superlógica Imobi,@superlogicaimobi,O big fone tocou na sua imobiliária?,2026-05-20T00:45:58+00:00,https://www.youtube.com/watch?v=68WIvEI0hbA,2026-09-07T20:45:51+00:00
ZZAQRCwLgFU,Superlógica Imobi,@superlogicaimobi,Já ouviu falar em Treatonomics no mercado imobiliário?,2026-05-15T19:29:23+00:00,https://www.youtube.com/watch?v=ZZAQRCwLgFU,2026-09-07T20:45:51+00:00
inUGzh-IGU0,PipeImob,@pipeimob,Depoimento PipeImob - Thiago (Re/max Guardião),2026-02-27T12:28:31+00:00,https://www.youtube.com/watch?v=inUGzh-IGU0,2026-09-07T20:45:51+00:00
hgEacDSuAFQ,PipeImob,@pipeimob,Depoimento PipeImob - Fernando (Verus Prime),2026-02-19T16:55:46+00:00,https://www.youtube.com/watch?v=hgEacDSuAFQ,2026-09-07T20:45:51+00:00
AKm4l-L2Ji4,PipeImob,@pipeimob,Sócios final de ano,2026-02-11T13:59:29+00:00,https://www.youtube.com/watch?v=AKm4l-L2Ji4,2026-09-07T20:45:51+00:00
ypTc28I2-sU,PipeImob,@pipeimob,Depoimentos PipeImob - Foxter e Auxiliadora Predial,2026-02-11T13:58:15+00:00,https://www.youtube.com/watch?v=ypTc28I2-sU,2026-09-07T20:45:51+00:00
VTaLO4xgtu4,PipeImob,@pipeimob,Depoimento PipeImob - Romero (Danielle Imóveis),2026-02-11T13:55:05+00:00,https://www.youtube.com/watch?v=VTaLO4xgtu4,2026-09-07T20:45:51+00:00
LcriAPF3_ks,PipeImob,@pipeimob,Depoimento PipeImob - Tatiana (Marc),2026-02-11T13:50:31+00:00,https://www.youtube.com/watch?v=LcriAPF3_ks,2026-09-07T20:45:51+00:00
mJ-gMP8x50g,PipeImob,@pipeimob,Depoimento PipeImob - Kleber (Auxiliadora Predial),2026-02-11T13:40:46+00:00,https://www.youtube.com/watch?v=mJ-gMP8x50g,2026-09-07T20:45:51+00:00
rMvGTofZbTY,PipeImob,@pipeimob,Esteira de Locação - PipeImob,2026-01-29T19:48:56+00:00,https://www.youtube.com/watch?v=rMvGTofZbTY,2026-09-07T20:45:51+00:00
gMQiLyJmLxc,PipeImob,@pipeimob,O franqueado RE/MAX e o Pipeimob: tecnologia a serviço da performance,2025-10-06T00:37:07+00:00,https://www.youtube.com/watch?v=gMQiLyJmLxc,2026-09-07T20:45:51+00:00
Lyp_OuiayMU,PipeImob,@pipeimob,O poder do pós-venda no mercado imobiliário,2025-10-06T00:30:01+00:00,https://www.youtube.com/watch?v=Lyp_OuiayMU,2026-09-07T20:45:51+00:00
h6CkQw-TqZw,PipeImob,@pipeimob,Quem é Roberto Nascimento,2025-10-06T00:28:03+00:00,https://www.youtube.com/watch?v=h6CkQw-TqZw,2026-09-07T20:45:51+00:00
KsJqlnFOLcM,Union Softwares,@UsoBr,Bolsão de Leads Univen,2025-07-18T17:17:52+00:00,https://www.youtube.com/watch?v=KsJqlnFOLcM,2026-09-07T20:45:51+00:00
FaQEzPw7Xo0,Mold Systems,UCVbvO_BwkDyx_PyqYdk8O3Q,Feriados de Julho em Araraquara,2025-07-07T17:28:46+00:00,https://www.youtube.com/watch?v=FaQEzPw7Xo0,2026-09-07T20:45:51+00:00
w8G-opvN2dM,Mold Systems,UCVbvO_BwkDyx_PyqYdk8O3Q,Feriados dias 09 e 11,2025-07-07T15:06:16+00:00,https://www.youtube.com/watch?v=w8G-opvN2dM,2026-09-07T20:45:51+00:00
V8JqfbgFlVo,Union Softwares,@UsoBr,Utilizando Modelos de Documentos e Contratos Univenweb,2025-06-12T19:05:16+00:00,https://www.youtube.com/watch?v=V8JqfbgFlVo,2026-09-07T20:45:51+00:00
29zHDVRNOwE,Union Softwares,@UsoBr,IRRF Simplificado - Unilocweb,2025-06-12T18:56:39+00:00,https://www.youtube.com/watch?v=29zHDVRNOwE,2026-09-07T20:45:51+00:00
6tmqj5M2ZoI,Union Softwares,@UsoBr,Cadastro de Contratos no UnilocWeb,2025-05-23T17:50:00+00:00,https://www.youtube.com/watch?v=6tmqj5M2ZoI,2026-09-07T20:45:51+00:00
8RVLIHFBBDQ,Union Softwares,@UsoBr,Contrato Fácil Univen - Parte I,2025-05-23T12:37:45+00:00,https://www.youtube.com/watch?v=8RVLIHFBBDQ,2026-09-07T20:45:51+00:00
uIQihAEcBrc,Union Softwares,@UsoBr,Contrato Fácil Univen - Parte II,2025-05-23T12:34:57+00:00,https://www.youtube.com/watch?v=uIQihAEcBrc,2026-09-07T20:45:51+00:00
rdl6l6xgPh4,Union Softwares,@UsoBr,Distribuição de Leads - Rodizio Personalizado com Regras de Distribuição Univen,2025-05-23T12:26:02+00:00,https://www.youtube.com/watch?v=rdl6l6xgPh4,2026-09-07T20:45:51+00:00
X8z_vJ4I108,Union Softwares,@UsoBr,Distribuição de Leads - Univen,2025-05-23T12:22:42+00:00,https://www.youtube.com/watch?v=X8z_vJ4I108,2026-09-07T20:45:51+00:00
NpMFAZ650-c,Union Softwares,@UsoBr,Multi Cargas Portais - Univen,2025-05-23T12:20:53+00:00,https://www.youtube.com/watch?v=NpMFAZ650-c,2026-09-07T20:45:51+00:00
ocmnBeOAz3s,Union Softwares,@UsoBr,Nova Busca por Empreendimentos e Condomínios,2025-05-23T12:16:03+00:00,https://www.youtube.com/watch?v=ocmnBeOAz3s,2026-09-07T20:45:51+00:00
IPvHElFBVcU,Union Softwares,@UsoBr,Nova Vitrine Personalizada de Imóveis no Univen,2025-05-23T12:14:14+00:00,https://www.youtube.com/watch?v=IPvHElFBVcU,2026-09-07T20:45:51+00:00
lG-KU7v6PQI,Union Softwares,@UsoBr,Opções de Envio de Imóveis Portais,2025-05-22T18:37:50+00:00,https://www.youtube.com/watch?v=lG-KU7v6PQI,2026-09-07T20:45:51+00:00
19WSJZO9Y78,Union Softwares,@UsoBr,Univen - Multi Captadores,2025-05-22T18:27:47+00:00,https://www.youtube.com/watch?v=19WSJZO9Y78,2026-09-07T20:45:51+00:00
TodFLb5xN50,Sistema para Imobiliária,@sistemaparaimobiliaria,KSI EM TRÂNSITO #6 - Como conquistar o mercado de luxo sem perder a essência?,2025-05-15T04:21:51+00:00,https://www.youtube.com/watch?v=TodFLb5xN50,2026-09-07T20:45:51+00:00
ALhr4KeBVKY,Sistema para Imobiliária,@sistemaparaimobiliaria,"KSI EM TRÂNSITO #5 – Crescimento, Integração e Inteligência: o segredo da Lago e Exclusiv com KSI 🚀🏡",2025-04-19T17:40:22+00:00,https://www.youtube.com/watch?v=ALhr4KeBVKY,2026-09-07T20:45:51+00:00
8eiuhPr7Sdk,Sistema para Imobiliária,@sistemaparaimobiliaria,Como Expandir sua Imobiliária para 5 Cidades com Controle Total e Alta Performance!,2025-04-09T14:15:06+00:00,https://www.youtube.com/watch?v=8eiuhPr7Sdk,2026-09-07T20:45:51+00:00
